,Player,PTS_RBS_AST,College_Year_x,PTS_RBS_AST_College,College_Year_y
288,Malik Hairston,4.112903225806452,Sr.,21.299999999999997,Sr.
289,Will Blalock,4.071428571428571,Jr.,19.700000000000003,Jr.
290,Solomon Alabi,4.038461538461538,So.,14.9,So.
291,Willie Warren,4.0,So.,21.3,So.
292,Patrick O'Bryant,4.0,So.,20.099999999999998,So.
293,D.J. Strawberry,3.9696969696969697,Sr.,16.3,Sr.
294,Hassan Adams,3.8767123287671232,Sr.,21.4,Sr.
295,Vernon Macklin,3.6956521739130435,Sr.,11.7,Sr.
296,Gabe Pruitt,3.67741935483871,Jr.,20.400000000000002,Jr.
297,Cedric Simmons,3.6542056074766354,So.,12.9,So.
298,Jared Cunningham,3.617021276595745,Jr.,8.200000000000001,Jr.
299,Josh Selby,3.6052631578947367,Fr.,12.3,Fr.
300,Darnell Jackson,3.5301204819277108,Sr.,12.2,Sr.
301,Trey Thompkins,3.5,Jr.,24.9,Jr.
302,Grant Jerrett,3.5,Fr.,9.3,Fr.
303,Craig Brackins,3.411764705882353,Jr.,25.3,Jr.
304,Derrick Caracter,3.1951219512195124,Jr.,16.5,Jr.
305,Jamaal Franklin,3.166666666666667,Jr.,22.6,Jr.
306,Justin Harper,3.0454545454545454,Sr.,16.099999999999998,Sr.
307,James Augustine,2.9259259259259256,Sr.,18.7,Sr.
308,Maurice Ager,2.8333333333333335,Sr.,17.4,Sr.
309,Taurean Green,2.8235294117647056,Jr.,16.4,Jr.
310,Travis Leslie,2.8,Jr.,20.4,Jr.
311,Darington Hobson,2.5999999999999996,Jr.,29.8,Jr.
312,Tyler Honeycutt,2.541666666666667,So.,20.0,So.
313,Tony Mitchell,2.416666666666667,So.,4.4,So.
314,Andy Rautins,2.4,Sr.,14.1,Sr.
315,Sasha Kaun,2.08,Sr.,10.299999999999999,Sr.
316,Ryan Reid,2.0,Jr.,9.6,Jr.
317,Demetris Nichols,1.7222222222222223,Sr.,16.1,Sr.
318,Kris Joseph,1.7000000000000002,Sr.,16.5,Sr.
319,Fab Melo,1.6666666666666667,So.,9.2,So.
320,Taylor Griffin,1.625,Sr.,12.399999999999999,Sr.
321,Hamady N'Diaye,1.4545454545454546,Sr.,11.7,Sr.
322,Walter Sharpe,1.375,Jr.,11.7,Jr.
323,Kevin Murphy,1.2352941176470589,Sr.,21.9,Sr.
324,Darius Johnson-Odom,1.1428571428571428,Sr.,21.3,Sr.
325,Keith Benson,1.0,Sr.,23.0,Sr.
326,Erik Murphy,0.6666666666666666,Sr.,12.100000000000001,Sr.
327,Royce White,0.0,So.,27.7,So.
328,JamesOn Curry,0.0,Jr.,19.9,Jr.
329,Gani Lawal,0.0,Jr.,19.400000000000002,Jr.
